Название вакансии,URL,Название кампании,Описание
Data Scientist,https://hh.ru/vacancy/32349327?query=python, SINGAPORE PROJECT (ООО Сансет),"Искать, собирать, структурировать данные. Разрабатывать алгоритмы анализа неструктурированных данных. Совершенствовать текущие алгоритмы и разрабатывать новые, поддерживая высокие стандарты качества обработки... статистики, методов прогнозирования и т.п.). Опытного пользователя Python (Pandas, обработка данных). Сотрудника с уверенным владением английским языком (для чтения..."
Backend Developer Python (Middle),https://hh.ru/vacancy/32346326?query=python,ООО Технологии обработки данных,"Развитие и сопровождение универсальной платформы психометрического анализа. Автоматизация процессов обработки, обогащения и нормализации данных. Создание и развитие инфраструктуры, CI/CD.  Отличное знание Python. Опыт работы с реляционными базами данных, отличное знание SQL. Опыт работы с CI/CD. Опыт создания s..."
Junior C++ Developer,https://hh.ru/vacancy/32416428?query=python, RJ Games,"Разработка новой мобильной казуальной игры. Реализация механик match3. Поддержка и рефакторинг существующего кода. Разработка и поддержка утилит, используемых для... Умение быстро разбираться в чужом коде. Понимание шаблонов проектирования. Знание Python. Опыт использования распределенных систем контроля версий (Git). "
Senior/Lead Fullstack Python Engineer,https://hh.ru/vacancy/31637274?query=python, Spark Equation,"Разработка новых проектов, участие в тестировании и развертывании. Разработка архитектурных решений, практик и стандартов. Код ревью. Контроль над внедрением технических... Хорошие знания нескольких Python фреймворков. Хорошие знания нескольких frontend фреймворков. Хорошие коммуникативные навыки. Отличные знания стека Python. Знания и опыт..."
Lead Data Scientist,https://hh.ru/vacancy/32799001?query=python,АО Citibank,"Be a part of a dynamic, collaborative, progressive and high-performing team. Be a Data Science champion, mentor and technology... Machine Learning techniques (including linear models, time series forecasting, and ensemble models). Scientific Python: Anaconda, pandas, numpy, scikit-learn, Jupyter. "
Data scientist,https://hh.ru/vacancy/32411254?query=python, Билайн,"Обработка и анализ данных. Разработка предиктивных моделей (бинарная классификация, регрессия). Оценка и контроль качества моделей. Ввод моделей в продакшен.  Опыт работы с Python, знание основных ml-библиотек. Хорошее знание теории вероятности, статистики, эконометрики. Наличие решенных задач в области машинного..."
Data Scientist,https://hh.ru/vacancy/32406689?query=python,ООО Интер РАО-Управление сервисами,"Разработка запросов, получение и актуализация информации БД (T-SQL/MS SQL). Разработка технической документации и консультирование по проектам.  Разработка прогнозных моделей машинного обучения на языке Python. Дополнительным плюсом будет: Знание языка Base/SAS и инструментов управления данными SAS..."
Data Scientist,https://hh.ru/vacancy/32113789?query=python, Plarium,"Построение и оптимизация моделей машинного обучения (предсказание оттока клиентов, рекомендательные системы, предотвращение мошенничества, сегментация пользовательской базы, профилирование клиентов и т.  Знание SQL, опыт работы с реляционными базами данных и базами данных NoSQL. Опыт разработки на Python. Опыт работы с командной..."
Full-stack (React/Node.js) Developer,https://hh.ru/vacancy/32413998?query=python," Wargaming, Minsk (Game Stream)","Вы будете заниматься проектами, связанными с использованием искусственного интеллекта и визуализацией данных. В первую очередь — разработкой нового решения, оптимизирующего внутренний... Уверенное знание JS (ES5/ES6). Опыт работы с Node.js (или Python) от двух лет. Опыт работы с React.js..."
QA Engineer/Инженер по тестированию в автоматизацию (решения видеонаблюдения/Back-end/Python),https://hh.ru/vacancy/32611232?query=python, Netris,Автоматизация функционального и нагрузочного тестирования на языке Python. Участие в разработке и внедрении инфраструктуры автоматического тестирования. Участие в интеграции системы... Хорошее знание/опыт разработки на Python (может быть на развитие). Опыт тестирования приложений под Linux. Опыт разработки на Python 3...
Junior Data Analyst,https://hh.ru/vacancy/31882992?query=python, Genesis,"Создавать аналитические инструменты для принятия или оптимизации решений. Мониторить основные показатели продукта, искать причины отклонений и возможности для роста.  У тебя развиты аналитические навыки и ты действительно умеешь работать с цифрами. У тебя есть опыт работы с SQL. "
Java-разработчик ( Big Data),https://hh.ru/vacancy/32096708?query=python, ITFB Group,"Участие в проектах, затрагивающих хранение, обработку и анализ BigData в роли разработчика. Разработка подходов для трансформации, обработки и выгрузки данных... Знание Scala и\или Python как существенный плюс. Знание SQL, опыт работы с реляционными СУБД (Postgresql). Знание Linux, Git. "
Full Stack Developer (Middle),https://hh.ru/vacancy/32617263?query=python,ООО ПапаДжобс,"Использовали в работе реляционные БД, транзакционные модели. Имеете опыт использования Python, Django. -Понимаете устройство и работу сетей/Linux систем."
