Название вакансии,URL,Название кампании,Описание
Backend разработчик (Lua),https://hh.ru/vacancy/32679707?query=python, Marketcall," Знание SQL, умение оптимизировать запросы. Будет плюсом: Опыт разработки на Python/ C/ Go/ JS/ PHP. Опыт работы с фреймворками. "
"Преподаватель IT / компьютерных курсов, программирования, информатики",https://hh.ru/vacancy/32695746?query=python,ООО Амбидекстр,"Программирование в компьютерных системах. Сетевое и системное администрирование. Информационные системы и программирование. Организация и технология защиты информации. Web-дизайн, CMS... Основными специальностями ITSTART COLLEGE являются: Вы постоянно совершенствуйте свои навыки и знаете все о новых технологиях. Вы обладаете опытом преподавания..."
Реверс инженер (реверс аналитик),https://hh.ru/vacancy/32239533?query=python,ООО РАЙС,"анализ безопасности прошивок (firmware) сетевых устройств. — разработка POC-скриптов эксплуатации обнаруженных брешей безопасности. — участие в совещаниях, обсуждение общекомандных задач. Необходимые знания: — знание методик ведения реверс-инжиниринга. — владение одним из интерактивных дизассемблеров (IDA, Ghidra). — понимание принципов работы и языка ассемблера..."
Инженер в группу технической поддержки систем хранения данных,https://hh.ru/vacancy/32522061?query=python, Марвел Дистрибуция,"Прием и обработка запросов на поддержку СХД от клиентов компании. Планирование и проведение мероприятий по инсталляции и поддержке оборудования СХД... Знание одного из скриптовых языков программирования (bash, python). Опыт создания систем с высокой нагрузкой. Мобильность, готовность к командировкам. "
Архитектор ИТ-продуктов/Аналитик/Team Lead,https://hh.ru/vacancy/32724889?query=python,ООО Информ-Поддержка,Высшее техническое образование. Опыт программирования на С или С++/Go/Python под Linux или Unix компонент или комплексных решений.  Опыт участия в open source проектах. Опыт кроссплатформенной разработки. Опыт работы с базами данных.
Backend разработчик,https://hh.ru/vacancy/32502039?query=python,ООО Ваймарк Системс,"Разработка backend части программного обеспечения. Сопровождение и развертывание кода и платформ. Поддержка существующих и разработка новых сервисов. Участие в процессах... Знание одного или нескольких языков программирования (Go, Python, Lua, C++). Работа с Linux (работа с сетью). Знакомство с микросервисной архитектурой..."
Quantitative Researcher,https://hh.ru/vacancy/29958073?query=python, WorldQuant,"Competitive financial rewards, based on performance and position. Job Responsibilities (including, but not limited to, the following): Building algorithmic, computer... Solid programming skills (C++ and/or Python). Good knowledge of English (both oral and written). Strong work ethic. "
Quantitative Researcher,https://hh.ru/vacancy/29958068?query=python, WorldQuant,"Competitive financial rewards, based on performance and position. Job Responsibilities (including, but not limited to, the following): Building algorithmic, computer... Solid programming skills (C++ and/or Python). Good knowledge of English (both oral and written). Strong work ethic. "
Системный администратор/DevOps (Linux),https://hh.ru/vacancy/31586992?query=python, Интернет-агентство BINN,"Инсталляция, настройка и администрирование серверов под управлением Linux, а также дополнительного серверного ПО. Мониторинг работы программного и аппаратного обеспечения и... Опыт работы с системой мониторинга Zabbix. Опыт написание скриптов shell/python/php/ruby. Усидчивость, внимательность, самостоятельность. Умение работать в команде. "
Архитектор информационных систем /Разработчик,https://hh.ru/vacancy/32011235?query=python, Angara Technologies Group,"Участие в разработке новых сервисов в составе проектной команды. Выявление ошибок и предложение улучшений в существующих сервисах. Доработка и исправление... Хотя бы одного из интерпретируемых языков ( Python, Ruby,Shell, Powershell). Систем хранения, обработки и поиска «больших данных» (ELK). "
Аналитик,https://hh.ru/vacancy/32013113?query=python," Wargaming, Saint Petersburg (Lesta Studio)","Быть «базой знаний» по игре в целом и ее отдельным компонентам. Вместе с командой разрабатывать стратегию поддержки и развития игры.  Владение SQL или другим языком написания запросов. Знакомство с Python (Pandas, NumPy), R или другим скриптовым языком и пакетом работы..."
DevOps Engineer,https://hh.ru/vacancy/29608454?query=python,ООО Тектус Медиа,"Проектирование и настройка систем автоматизации разворачивания окружений, доставки изменений и их тестирования. Работа с облачными технологиями (опыт работы с Google... Владение каким-либо из языков общего назначения (Python, Bash, Ruby, Golang). Проектирование, настройка и обслуживание веб серверов. Большой опыт работы..."
Junior Traffic Manager (Google AdWords),https://hh.ru/vacancy/31882985?query=python, Genesis,"Million $ marketing budgets that allows you to test hypothesis. Explore a new and unknown platforms. Truly interesting tasks and the... Having basic knowledge of MySQL will be a plus, and if you also worked with Python / R / Tableau - your chances..."
Системный администратор,https://hh.ru/vacancy/32789705?query=python, ОССТ,"Системное администрирование серверов на базе ОС Linux. Администрирование баз данных (MySQL, PostgreSQL). Поддержка и развитие систем резервного копирования.  Опыт работы с какой либо системой виртуализации. Опыт разработки скриптов на bash/python/etc. Опыт работы с сетями. "
Scrum Master,https://hh.ru/vacancy/32351231?query=python, Группа компаний eLama,"Внедрять Scrum / Kanban фреймворк в зависимости от специфики работы команд. Прививать ценности Agile. Налаживать коммуникации внутри и между командами.  С хорошими переговорными навыками и навыками фасилитации (ценим практику выше, чем теорию, сертификаты и прохождение курсов). Пониманием и практическим опытом..."
Marketing Analyst,https://hh.ru/vacancy/32410673?query=python,ООО G5 Entertainment AB,"G5 Entertainment, (G5EN) a publicly traded, growing developer and publisher of high quality mobile games is looking... Strong knowledge of Mathematical Theory, Probability and Statistics. Understanding of R/Python and practical experience with this data science toolkit. "
Marketing Analyst,https://hh.ru/vacancy/32410662?query=python,ООО G5 Entertainment AB,"G5 Entertainment, (G5EN) a publicly traded, growing developer and publisher of high quality mobile games is looking... Strong knowledge of Mathematical Theory, Probability and Statistics. Understanding of R/Python and practical experience with this data science toolkit. "
Разработчик мобильных приложений/Веб-разработчик,https://hh.ru/vacancy/32402352?query=python,ООО Компания Брайт Фит,"Разработка и деплой мобильных приложений на базе iOS и Android для продуктов компании. - Участие в создании новых проектов. -  Знание современных веб-технологий (JS, CSS, клиентские js-библиотеки и фреймворки, серверные языки, такие, как PHP, Python, Node и подобн.). - "
IOS Developer,https://hh.ru/vacancy/32399318?query=python,ООО Сампад," Знание и понимание принципов ООП. Понимание MVC, MVVM и прочих паттернов. Знание и опыт работы с Objective C / Swift iOS..."
Преподаватель по программированию для детей,https://hh.ru/vacancy/32690590?query=python,ИП Алгоритмика ( ИП Газиев А. М)," Выпускников технических или педагогических ВУЗов, любящих детей и готовых сделать для них программирование простым, интересным и веселым! Опыт работы с..."
Инженер технической поддержки,https://hh.ru/vacancy/32412063?query=python,ООО ДКМ-технологии,"Регистрация и обработка заявок по поддержке автоматизированных систем управления. Проведение первичной диагностики проблем, изучение причины отказов и нарушений в поддерживаемых... Знание баз данных: MSSQL, PostgreSQL; умение составлять запросы и обслуживать БД. Знание языков программирования: PYTHON, PHP, PERL, Java, JavaScript. "
Преподаватель детского кружка по программированию,https://hh.ru/vacancy/32718530?query=python,ТОО Алгоритмика Кокшетау," Студентов, выпускников ВУЗов с профильным техническим образованием (программирование, информатика, точные науки), а также опытных специалистов, любящих детей и готовых сделать..."
Системный администратор,https://hh.ru/vacancy/32788768?query=python, SIBERS,"Сейчас мы ищем в команду человека, который присоединится к нам в качестве системного администратора. Он не побоится лицом к лицу... Владения скриптовыми языками для автоматизации: Bash, Python и т.д. Знания популярных open-source продуктов: веб-серверов, баз данных, почтовых..."
Тестировщик ПО,https://hh.ru/vacancy/32604301?query=python,ООО Элисофт,"Ручное тестирование настольных и web-приложений. Понимание процесса разработки и тестирования. Анализ и документирование дефектов, поиск причин. Воспроизведение проблем, описанных... Высшее техническое образование. Обязателен опыт ручного тестирования от 1 года. Знание типов и методологий тестирования. Знание SQL на уровне написания..."
Специалист технической поддержки,https://hh.ru/vacancy/32313453?query=python,ТОО Коркем Телеком,Следить за работоспособностью АПК. Своевременно обновлять и перезагружать НОДы. Оперативно реагировать на случаи отсутствия событий в системе Сергек.  ...Linux на уровне продвинутого пользователя. Хорошее знание bash-скриптов. Английский на уровне чтения технической документации. Понимание работы сетей. Ansible. Python.
DevOps Engineer (to Cyprus),https://hh.ru/vacancy/32571842?query=python,ООО Spotware Systems Ltd,"Automate Build/Deploy and software configuration/release management related tasks. Install, configure, administer, and tune application servers. Work with Development... Strong knowledge of VCS systems (svn/git). Fluency in some major scripting languages: python, shell scripts, groovy. Experience working with..."
Преподаватель программирования в детский центр робототехники,https://hh.ru/vacancy/32794403?query=python, Кибервиль (ИП Лабзо Матвей Сергеевич),"Проведение обучающих занятий согласно методическим материалам (робототехника, программирование на Scratch, Python) для детей от 5 до 12 лет в разных... Высшее или незаконченное высшее образование. Владение языками программирования: Scratch. Умение владеть вниманием аудитории. Быстрое освоение новых методик. Хорошие коммуникативные навыки..."
Tech Artist / Технический Художник,https://hh.ru/vacancy/32724159?query=python,ООО Нейрогейминг Парк,"Настройка света и материалов. Оптимизация геометрии, текстур и пр. Создание и интеграция ассетов в игровой движок. Оптимизация пайплайна производства.  Художественное и/или Техническое образование или background. Знание скриптовых языком (Желательно Python). Знание Английского языка. Опыт. Вам предстоит погрузиться в..."
Senior Lab Systems Engineer (IEO),https://hh.ru/vacancy/32607075?query=python, Dell EMC,"Development of various scripts using powershell, python and other tools to automate current manual processes. Responsible for the configuration and... Bachelor’s degree. 10+ years of relevant industry experience. Proficiency in hardware, software and operating systems. Proficiency in monitoring..."
DevOps инженер,https://hh.ru/vacancy/32784910?query=python,ООО Инсейлс Рус,"Улучшать текущую конфигурацию платформы, продолжать внедрять Kubernetes. Обеспечивать стабильность работы платформы, в том числе реагировать на критичные ночные инциденты.  Опыт работы с Kubernetes. Опыт разработки на одном из языков: Ruby, Python или Go. Вы знакомы с книгой Google SRE."
Computer Vision / Deep Learning специалист в Сан-Франциско,https://hh.ru/vacancy/32705119?query=python, Anchous Drive Recruitment,"Мы стартап XiX.ai и разрабатываем новые решения в области компьютерного зрения и распознавания образов. Наш основной кейс это помощь в... Ты привык доверять своей команде и готов идти с нами, несмотря на сложности. — Ты любопытен и обожаешь решать сложные задачи..."
Системный администратор,https://hh.ru/vacancy/31920637?query=python, Webzilla,"Администрирование выделенных серверов (веб, почтовых, файловых и других). Выполнение задач по запросу клиентов в тикет-системе. Мониторинг доступности сервисов. Опыт работы с различным серверным и сетевым оборудованием. Опыт автоматизации с использованием Bash, Python, PERL. Опыт оптимизации серверов под высокие..."
QA engineer,https://hh.ru/vacancy/32603219?query=python, Group-IB,"Детализация требований к ПО, взаимодействие с product-менеджерами и клиентами компании. Составление плана тестирования ПО, контроль за покрытием кода тестами... Грамотная устная и письменная речь. Будет плюсом. Знание языков программирования JS, Python, Golang. Опыт работы с Selenium. Опыт написания unit..."
Backend разработчик в tradedesk на Interactive Brokers инвестиционной компании On|Capital,https://hh.ru/vacancy/32833152?query=python, On Capital LLC,"...доработке других внутренних инструментов, например, сервисов отчетов и статистики (Go, Python, C#). Разбираешься в установлении связи между средой разработки стратегий... "
VoIP администратор,https://hh.ru/vacancy/32793351?query=python, Тelecontact,"Совместно со старшим системным администратором и менеджерами проектов поддерживать работу нашей голосовой инфраструктуры и обеспечивать бесперебойный прием звонков нашими операторами.  Дополнительным «плюсом» является общие знания и базовые навыки программирования на любом популярном скриптовом языке (Perl, PHP, Python, Ruby). "
Администратор продуктов Atlassian,https://hh.ru/vacancy/32514357?query=python, Билайн,"Прием и решение инцидентов, запросов на изменение и доступ. Проектирование и настройка JIRA-проектов: Сбор и согласование требований с внутренними... Опыт в технологиях, языках программирования, форматах данных, является большим плюсом: HTML(CSS),XML,Javascript, JAVA/Groovy, SQL (или PHP, Python). "
DevOps инженер,https://hh.ru/vacancy/32782079?query=python,ООО Claire&Clarté,"Создание и поддержка инфраструктуры разработки, CI/CD, мониторинг, ведение логов, администрирование БД, организация бэкапов. Настройка и развертывание тестовых стендов.  Опыт оркестрации контейнеров (Docker, k8s). Опыт разработки скриптов (python, sh, bash, др.). Опыт администрирования MongoDB и PostgreSQL (Postgres..."
Senior C# Developer,https://hh.ru/vacancy/32781837?query=python, DM Basis,"Code review (C#), разработка API, простейших фронтендов на ASP.NET Core, разработка ETL с использованием SSIS, разработка Database-layer кода на... C# 6 (уверенное знание), SQL, MS SQL, Docker, .NET Core, ASP.NET Core, PostgreSQL, SQL Server Integration Services, знание Python Airflow..."
Инженер светотехнической лаборатории,https://hh.ru/vacancy/32713959?query=python, НПО ЛИТ,"Проведение текущих измерений в светотехнической лаборатории. Измерение электроизлучательных параметров ламп на лабораторных стендах, на объектах (в т.ч.  Аккуратность, пунктуальность, умение вести документацию. Навыки по сборке простых электрических схем и наличие опыта в программировании с Python или Labwiew..."
DevOps Engineer (relocation to Cyprus),https://hh.ru/vacancy/32602176?query=python,ООО Spotware Systems Ltd,"Automate Build/Deploy and software configuration/release management related tasks. Install, configure, administer, and tune application servers. Work with Development... Strong knowledge of VCS systems (svn/git). Fluency in some major scripting languages: python, shell scripts, groovy. Experience working with..."
DevOps Engineer (relocation to Cyprus),https://hh.ru/vacancy/32602178?query=python,ООО Spotware Systems Ltd,"Automate Build/Deploy and software configuration/release management related tasks. Install, configure, administer, and tune application servers. Work with Development... Strong knowledge of VCS systems (svn/git). Fluency in some major scripting languages: python, shell scripts, groovy. Experience working with..."
Программист,https://hh.ru/vacancy/32623233?query=python, Центр Квантовых Технологий МГУ имени М.В. Ломоносова,"Экспериментальных прототипов квантовых вычислителей. Примерные задачи: Full-stack разработка систем управления экспериментальными установками. Разработка. Среды программирования и симуляции квантовых вычислительных... Н.Э.Баумана, МИФИ). - программирование на скриптовых языках python/MATLAB. - крайне желательно программирование на языке C, C++. - крайне желателен опыт разработки пользовательских..."
Системный администратор Linux,https://hh.ru/vacancy/32603484?query=python, Йенго РУ,"Администрирование собственных проектов компании. Настройка железа, ОС, сторонних и собственных сервисов. Поиск узких мест в производительности систем. Мониторинг всего работающего... Опыт администрирования РСУБД, хотя бы минимальный. Умение обращаться с sh/awk/sed/perl. Желательно опыт использования ansible. Желательно знания python."
Ведущий специалист по информационной безопасности,https://hh.ru/vacancy/31773971?query=python, velcom (Унитарное предприятие «Велком»),"Администрирование и поддержка SIEM системы. Подключение источников событий к SIEM системе. Внедрение и тюнинг правил корреляции, отчетов, статистики, дашбоардов в... Опыт администрирования Linux платформ. Опыт разработке скриптов на Python (или используя другие языки программирования). Опыт администрирования, поддержки, развертывания SIEM системы. "
Инженер,https://hh.ru/vacancy/32608244?query=python,ТОО Life 2 Win,"Проведение регламентно-технических работ. Выполнение запросов на обслуживание ПО. Выполнение запросов на изменение конфигурации ПО. Ведение эксплуатационной документации.  ПО по запросу). Понимание трёхзвенной архитектуры приложений. J2EE, Spring, RabbitMQ, написание shell скриптов (Python/Bash/perl etc.), Apache..."
Pre-sale инженер по системам мониторинга,https://hh.ru/vacancy/32716725?query=python,ООО Виннком Технологии,"Pre-sale, демонстрация и проведение пилотных запусков для потенциальных клиентов. - Проведение встреч по сбору требований и семинаров для клиентов. -  Хорошее понимание и использование следующих языков программирования: Java, .NET, Node.js, Python, PHP, C, C++, Batch, UNIX Shell Script, HTML, XML. - "
Project Manager,https://hh.ru/vacancy/32254330?query=python,ООО Сампад,"Руководить различными по размеру и типу проектами. Стартовать проекты и налаживать процесс и отношения с заказчиком с нуля.  Опыт работы в IT от 5 лет, в частности в роли PM от 3 лет. Свободный английский (позиция предполагает постоянное..."
"Экономист-математик (IO, эконометрика/data science)",https://hh.ru/vacancy/31258061?query=python, Институт прикладных экономических исследований РАНХиГС при Президенте Российской Федерации,"Построением отраслевых и межотраслевых экономических моделей. Сбором и анализом неформализованных данных из разнообразных источников. Разработкой и сопровождением экономических информационных систем.  Свободное чтение профессиональной и научно-технической литературы на английском языке. Навыки программирования (R, Python) и работы с базами данных. "
Kotlin / Java разработчик,https://hh.ru/vacancy/31724349?query=python, Эквид," Хорошо бы иметь общие знания о том, как устроены самые разные штуки в CS/IT (браузер, файловая система, CPU L..."
Специалист по автоматизированному тестированию/QA automation engineer,https://hh.ru/vacancy/32060074?query=python,ООО ТОП КЕЙС,"Анализ требований. Настройка тестового окружения. Разработка тест-кейсов для автоматизированных тестов. Разработка фреймворка автоматизации. Разработка и отладка автоматизированных тестов, тестовых... Опыт работы в тестировании от 1 года. Практический опыт разработки автоматизированных тестов (Java, Python, bash, JScript). Опыт разработки тестов для..."
Специалист ИТ,https://hh.ru/vacancy/32707981?query=python, Компьютерная Академия Шаг г. Новосибирск,"Преподавание в группах до 16 человек в соответствии с учебными планами и материалами. Участие в мероприятиях: мастер-классы, открытые уроки... Знание или опыт работы в одной из предметных областей в сфере компьютерных технологий. Приветствуется педагогический опыт или высшее педагогическое образование. "
Team Lead / Руководитель группы разработки,https://hh.ru/vacancy/31677514?query=python, MillionAgents,"Участие в принятии стратегических продуктовых решений, в проектировании продуктов и бизнес-процессов. Управление системой: ответственность за архитектуру, выбор технологий и... Опыт работы с технологиями машинного обучения и опыт работы на языке Python / Matlab / R. Опыт участия в разработке биллинговых решений."
Бизнес-аналитик (E-Learning),https://hh.ru/vacancy/32602893?query=python, Центр онлайн-обучения „Нетология-групп“,"Погружаться в продукт и бизнес, выделять ключевые метрики и совершенствовать методологию расчета. Генерировать и проверять гипотезы, искать причины падения/роста... Умение задавать вопросы и находить ответы – придется много общаться. Понимание принципов сквозной аналитики и устройства интернета. Python и опыт написания..."
CI Engineer,https://hh.ru/vacancy/27812469?query=python, NetworkOptix,"Take a part in the continuous integration system development: support and improve current CI projects, based on jenkins and jenkins... Experience with a continuous integration platform such as Jenkins, TeamCity, Groovy etc. Good Python knowledge. Good experience in version control..."
Проектный менеджер,https://hh.ru/vacancy/32691192?query=python, СИГМА.Новосибирск,Принять имеющееся legacy. Сформировать и приоритизировать задачи для команды разработчиков в соответствии с продуктовой стратегией для быстрого релиза альфа- и... Опыт собственной разработки (PHP / Python / Java) до работы в должности руководителя проекта. Знание английского языка на уровне чтения и понимания...
Ведущий программист / эксперт PostgreSQL,https://hh.ru/vacancy/32573682?query=python,АО СИГНАЛТЕК,"Разработка структуры БД, хранимых процедур. Написание web-серверов на nodejs, python3. Написание сервисов и утилит на python3.  Эксперт PostgreSQL. Продвинутый пользователь linux, git. JavaScript (будет плюсом). Python3 (будет плюсом)."
Системный администратор/DevOps,https://hh.ru/vacancy/31915669?query=python, Неотек,"Участвовать в создании/поддерживать/оптимизировать архитектуру проектов и сетевую инфраструктуру. Исследовать новые технологии/практики. Автоматизировать ""ручные/рутинные"" процессы.  Опыт программирования на скриптовых языках (Bash/Python/Perl etc.). Опыт работы/внедрения CI/CD / ELK Stack / Git / Jenkins. "
Android Developer,https://hh.ru/vacancy/32399384?query=python,ООО Сампад," Опыт коммерческой разработки проектов под OS Android от 1 года. Уверенные знания Java core, Kotlin, collections, multithreading, IO, Android Architecture..."
Системный администратор,https://hh.ru/vacancy/32503085?query=python,АО МЦ-Сервис Инжиниринг,"Поддержание и развитие офисной и сетевой инфраструктуры (на ~30 человек). Поддержка комплекса ""Слежение"", разрабатываемого компанией (oracle, linux/windows). Знакомство с redmine, nagios. Знакомство с git, cvs. Знание python, perl, ruby(rails). Знание базовых сетевых концепций (маршрутизация, firewall, vpn). "
Property Listing & Data Manager for Fast Paced US-Based Start-up,https://hh.ru/vacancy/32574390?query=python, Резиденс,Technical/coding (such as Python) knowledge to help automate this process is a big plus. Posting new inventory on our... ...amount of work is high. Personal computer to work on. Python or similar language that could help automate manual tasks.
Разработчик компилятора,https://hh.ru/vacancy/32061711?query=python, ГК «ХайТэк»,Разработка оптимизирующего компилятора для создания кода выполнения моделей нейронных сетей(Tensorflow/PyTorch) на тензорном микропроцессоре. Разработка методов разработки разбиения графов... Опыт разработки оптимизирующих компиляторов. Высокий уровень знания C++. Высокий уровень знания Python. Опыт работы со стеком LLVM. Опыт работы с...
Младший инженер по внедрению и техподдержке телекоммуникационного биллинга,https://hh.ru/vacancy/32674832?query=python, Латера,Общее описание: — поддерживать работу уже внедренного биллинга. — участвовать в решении сложных задач совместно с разработчиками. — общаться с клиентами: консультировать по... умение установить и настроить приложение в консоли Linux. — знание основ языка запросов SQL. Опыт работы с любой СУБД будет плюсом. — 
Инженер внедрения и сопровождения (NGN),https://hh.ru/vacancy/31291107?query=python," Протей, НТЦ","Протоколы стека ОКС-7 (MTP, ISUP), DSS1. Базы данных (MySQL, PostgreSQL). Скрипты на Bash/Perl/Python. Средства удалённого управления... Уверенное знание сетевых технологий (стек TCP/IP, опыт настройки сетевого оборудования). Хорошее знание протокола SIP. Опыт использования Linux. "
Научный сотрудник (разработчик интегрально-оптических схем),https://hh.ru/vacancy/32622520?query=python, Центр Квантовых Технологий МГУ имени М.В. Ломоносова,"разработка интегральных оптических элементов и пассивных оптических схем из кремния и нитрида кремния. - разработка активных перестраиваемых интегральных оптических элементов и... опыт работы с пакетами программ для расчётов оптических структур, например, Lumerical. - знание скриптовых языков программирования python/MATLAB. - хорошее знание оптимизационных..."
Младший геймдизайнер-аналитик,https://hh.ru/vacancy/32782449?query=python,ООО ГЕЙМНАТС,"Анализ игровой экономики, баланса. Контроль целостности и валидности всех собираемых игровых данных. Написание SQL-запросов к игровым базам данных.  ...четко формулировать свои мысли как устно, так и письменно. Опыт работы в схожей должности. Опыт анализа данных или знание Python."
Automation QA specialist,https://hh.ru/vacancy/32358398?query=python,ООО Медиалайн,"Активное участие в построении инфраструктуры автоматизированного тестирования в компании. Разработка автотестов и прочих решений автоматизации тестирования (Android, iOS, Web).  Опыт написания программ или автотестов на одном из языков программирования (таких как Java, Ruby, Python). Умение работать со средствами автоматизации..."
Исследователь-экономист (research analyst in economics),https://hh.ru/vacancy/30995943?query=python, Институт прикладных экономических исследований РАНХиГС при Президенте Российской Федерации,"Выполнение фундаментальных и прикладных экономических исследований, консультационных и информационно-аналитических проектов. Обработка, анализ, систематизация статистических данных. Подготовка аналитических записок, отчётов... Владение современными эконометрическими пакетами (STATA, Eviews, Matlab, SPSS и другие), навыки программирования (Python, R и другие). Умение работать на продвинутом..."
Преподаватель программирования,https://hh.ru/vacancy/32604645?query=python,ИП Мешков Олег Игоревич," Мы ищем активных, компетентных и целеустремленных талантов с практическим опытом разработки на одном из игровых движков (или желанием разобраться в..."
Преподаватель программирования,https://hh.ru/vacancy/32604646?query=python,ИП Мешков Олег Игоревич," Мы ищем активных, компетентных и целеустремленных талантов с практическим опытом разработки на одном из игровых движков (или желанием разобраться в..."
CG Generalist / Художник дизайнер Unity 3D,https://hh.ru/vacancy/32328355?query=python, Hello Computer,"Самое главное! Самоотверженно участвовать в самых ярких и креативных проектах! Создавать сцены в Unity, заниматься сборкой и настройкой контента (2... Опыт разработки в ООП языках (C++, C#, JS, Python). Скриптинг в 3Д пайплайне (MEL, VEX). Понимание работы реалтаймового рендеринга. "
Аналитик 2 линии поддержки,https://hh.ru/vacancy/32783356?query=python," ЮТэйр, Авиакомпания","...разработки, тестированием и 1 линией поддержки и заказчиками по функционалу. Наполнение базы знаний. Работа с данными, написание скриптов на Python. Навыки написания запросов к mongo db или sql. Навыки программирования на Python или другом языке (желательно). Приветствуется опыт: работы системным..."
Аналитик/старший аналитик/эксперт Службы валидации,https://hh.ru/vacancy/32785834?query=python,АО Аналитическое кредитное рейтинговое агентство (АКРА),"Валидация методик, применяемых в Агентстве. Участие в разработке технической базы для проведения валидации. Сбор и систематизация финансовой и статистической информации.  Навыки программирования в Python/R/Matlab/C. Знания подходов машинного обучения, теории вероятности и математической статистики. Знание подходов к валидации..."
Программист низкоуровневых устройств,https://hh.ru/vacancy/32623140?query=python, Центр Квантовых Технологий МГУ имени М.В. Ломоносова,"Экспериментальных прототипов квантовых вычислителей. Примерные задачи: Написание USB драйверов для взаимодействия компьютера c ОС Linux c. Микроконтроллерами, находящимися в составе... высшее техническое или естественно-научное образование (предпочтительно ВУЗ. Первого эшелона МГУ, МФТИ, МГТУ им. Н.Э.Баумана, МИФИ). - программирование на языке C..."
Аналитик/старший аналитик(эксперт в методологическую группу),https://hh.ru/vacancy/32785816?query=python,АО Аналитическое кредитное рейтинговое агентство (АКРА),"Разработка и пересмотр методик присвоения рейтингов совместно с аналитиками по направлениям. Участие в разработке технической базы для анализа факторов, влияющих... Навыки программирования в Python/R/Matlab/C. Знания подходов машинного обучения, теории вероятности и математической статистики. Опыт работы не менее..."
ИТ рекрутер,https://hh.ru/vacancy/32606258?query=python, Comagic,"UIS — бизнес-телефония для персональной работы с каждым клиентом. Телефония UIS занимает 4-ое место в Москве на рынке услуг... Имеешь успешный опыт подбора талантливых ИТ-специалистов ( разработчиков, продакт менеджеров, тестировщиков, аналитиков) не менее года. Обладаешь усидчивостью, аналитическим мышлением, смекалкой..."
Frontend-разработчик на проект Digital Credit,https://hh.ru/vacancy/28902632?query=python, Банк ВТБ (ПАО),"Реализация нового функционала на проекте Digital Credit в рамках молодой, динамично развивающейся команды внутри крупного банка. Проведение code-review.  Опыт коммерческой разработки на JS/TS от 1 года. Знание базы JavaScript (классы, замыкания, прототипы). Опыт работы на стеке React..."
DevOPS Engineer (SRE),https://hh.ru/vacancy/32832303?query=python, LifeStreet Corporation,"Orchestration: k8s. — ELK stack. — Be able to work closely with developers as a team member and resolve all... Fluent Russian, Intermediate English (you must be able to resolve issues with English-speaking provider if needed). — Fluent Python (or..."
Аналитик проектов автоматизации контактных центров,https://hh.ru/vacancy/32443733?query=python, NAUMEN,"Взаимодействие с заказчиками, выявление и анализ их потребностей, консультации по работе существующей системы. Сбор, систематизация, согласование требований к программному продукту.  Базовые знания SQL. Базовые знания одного из скриптовых языков (python, perl, bash, javascript). Опыт написания технической документации. Понимание принципов работы..."
Компьютерный лингвист,https://hh.ru/vacancy/32784005?query=python,ООО Альтуэра Лабс,"Администрирование базы знаний диалоговой системы (чатбот). Обработка текстовых данных заказчика, кластеризация и тематизация. Написание сценариев диалогов клиент-система.  Интерес к задач обработки естественного языка. Наличие минимального опыта программирования(Python,R,JavaScript). Знание регулярных выражений (RegExp). Личные качества: Усидчивость..."
Преподаватель в Лабораторию программирования для детей ProGame!,https://hh.ru/vacancy/32833208?query=python, Учимся легко,"Консультировать клиентов. ⧫ Поддерживать атмосферу в аудитории. ⧫ Много общаться с нашими учениками — проводить занятия по готовым урокам (1 урок — 1,5... Ответственного, пунктуального, внимательного и любящего работу с детьми, молодого и инициативного сотрудника от 25 до 35 лет. Позитивного, настроенного на..."
Преподаватель в школу программирования,https://hh.ru/vacancy/32443840?query=python, Алгоритмика (ИП Лагуткин Павел Владимирович),"проводить занятия с применением методических материалов и приемов Алгоритмики. - создавать и поддерживать атмосферу дружеской командной работы среди учеников. -  студентов и выпускников технических или педагогических ВУЗов (образование: техническое, экономическое, математическое, физическое, информатика), любящих детей и готовых сделать для них..."
Научный сотрудник (теоретик),https://hh.ru/vacancy/32622336?query=python, Центр Квантовых Технологий МГУ имени М.В. Ломоносова,Вычислений и симуляций для их реализаций на оптических устройствах и разрабатывать новые алгоритмы. Успешные соискатели будут иметь возможность участвовать в.  опыт численных расчётов и моделирования квантовых систем. - опыт программирования на скриптовых языках программирования (python/MATLAB). Будет плюсом: - знакомство с квантовыми...
Инженер по тестированию ПО,https://hh.ru/vacancy/30755737?query=python,ООО Т8,Анализ требований и разработка тестов. - Функциональное тестирование сервисов. - Автоматизация тестирования. - Настройка и поддержка тестовых стендов. Опыт написания тест-кейсов. - Знание методологий тестирования. - Хорошее знание Python. - Опыт работы с Unix / Bash. - Опыт работы с Docker контейнерами. 
Руководитель отдела аналитики,https://hh.ru/vacancy/32500962?query=python,ООО Жилищная Экосистема ВТБ,"Руководить аналитическим подразделением компании. Внедрять аналитические подходы в бизнес-процессы, взаимодействовать с разработкой для создания необходимых инфраструктурных решений.  SQL - обязательно, конкретный диалект не важен. Python/R обязательно, опыт kaggle желательно. Знание регрессии, GLM, RF, GBM, кластерный анализ, регуляризация..."
Руководитель проектов внедрения,https://hh.ru/vacancy/32675161?query=python, Латера,"Общее описание: — вести внутренние и внешние проекты внедрения: планировать ресурсы, следить за задачами и сроками. — общаться с клиентами, мотивировать на... опыт работы в сфере IT на проектных должностях (портфолио из минимум двух проектов, прошедших полный цикл от инициации до успешного..."
